name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion


,M4 MW2

weap_m4carbine_clipout_plr,,weps/m4_mw2/weap_mw2_m4_clip_out.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_m4carbine_clipin_plr,,weps/m4_mw2/weap_mw2_m4_clip_in.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_m4carbine_chamber_close_plr,,weps/m4_mw2/weap_mw2_m4_chamber.wav,0.55,0.6,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,


weap_mw2_m4carbine_fire_plr,,weps/m4_mw2/weap_mw2_m4_fire.wav,0.72,0.79,wpnplyr,1,1,500000,,local,,,,0.85,,,,,weapon2

weap_mw2_m4silenced_fire_plr,,weps/m4_mw2/weap_mw2_m4_fire_sil.wav,0.35,0.55,wpnplyr,0.83,1,500000,,local,,,,0.85,,,,,weapon2


weap_mw2_m4carbine_fire_npc,,weps/m4_mw2/weap_mw2_m4_fire.wav,0.76,0.82,wpnai,1,1,35,8400,weapon,,,,0.7,!ac130 all_mp,,,,weapon4
weap_mw2_m4carbine_fire_npc,,weps/m4_mw2/weap_mw2_m4_fire.wav,0.76,0.82,wpnai,1,1,35,10920,weapon,,,,0.7,all_mp,,,,weapon4


weap_mw2_m4silenced_fire_npc,,weps/m4_mw2/weap_mw2_m4_fire_sil.wav,0.56,0.62,wpnai,0.8,0.9,35,8400,weapon,,,,0.7,!ac130 all_mp,,,,weapon4
weap_mw2_m4silenced_fire_npc,,weps/m4_mw2/weap_mw2_m4_fire_sil.wav,0.46,0.52,wpnai,0.8,0.9,35,2000,weapon,,,,0.7,all_mp,,,,weapon4



weap_mw2_m4carbine_reload_npc,,weps/m4_mw2/weap_mw2_m4_clip_out.wav,0.55,0.6,wpnai,1,1,7,500,reload,,,,0.7,all_mp,,,weap_m4carbine_clipin_npc,weapon2,50
