1,1,621,2621,1,0,3,ch_victor_dm_1,CHALLENGE_FREEFORALL_VICTOR_I,CHALLENGE_PLACE_IN_THE_TOP_3_IN,50,;,;,;,a,1,;,;,;,;,
2,;,;,2621,5,1,3,ch_victor_dm_2,CHALLENGE_FREEFORALL_VICTOR_II,CHALLENGE_PLACE_IN_THE_TOP_3_IN1,100,;,;,;,;,1,;,;,;,;,
3,;,;,2621,10,5,3,ch_victor_dm_3,CHALLENGE_FREEFORALL_VICTOR_III,CHALLENGE_PLACE_IN_THE_TOP_3_IN2,250,;,;,;,;,1,;,;,;,;,
4,2,622,2622,5,0,3,ch_teamplayer_1,CHALLENGE_TEAM_PLAYER_I,CHALLENGE_WIN_5_TEAM_DEATHMATCH,50,;,;,;,a,1,;,;,;,;,
5,;,;,2622,15,5,3,ch_teamplayer_2,CHALLENGE_TEAM_PLAYER_II,CHALLENGE_WIN_15_TEAM_DEATHMATCH,100,;,;,;,;,1,;,;,;,;,
6,;,;,2622,30,15,3,ch_teamplayer_3,CHALLENGE_TEAM_PLAYER_III,CHALLENGE_WIN_30_TEAM_DEATHMATCH,250,;,;,;,;,1,;,;,;,;,
7,3,623,2623,5,0,3,ch_victor_sd_1,CHALLENGE_SD_VICTOR_I,CHALLENGE_WIN_5_SEARCH_AND_DESTROY,50,;,;,;,a,1,;,;,;,;,
8,;,;,2623,15,5,3,ch_victor_sd_2,CHALLENGE_SD_VICTOR_II,CHALLENGE_WIN_15_SEARCH_AND_DESTROY,100,;,;,;,;,1,;,;,;,;,
9,;,;,2623,30,15,3,ch_victor_sd_3,CHALLENGE_SD_VICTOR_III,CHALLENGE_WIN_30_SEARCH_AND_DESTROY,250,;,;,;,;,1,;,;,;,;,
10,4,624,2624,1,0,1,ch_mvp_tdm,CHALLENGE_MVP_TEAM_DEATHMATCH,CHALLENGE_PLAY_TEAM_DEATHMATCH,250,;,;,;,a,1,;,;,;,;,
11,5,625,2625,1,0,3,ch_teamplayer_hc_1,CHALLENGE_HARDCORE_TEAM_PLAYER,CHALLENGE_WIN_1_HARDCORE_TEAM_DEATHMATCH,50,;,;,;,b,1,;,;,;,;,
12,;,;,2625,5,1,3,ch_teamplayer_hc_2,CHALLENGE_HARDCORE_TEAM_PLAYER1,CHALLENGE_WIN_5_HARDCORE_TEAM_DEATHMATCH,100,;,;,;,;,1,;,;,;,;,
13,;,;,2625,15,5,3,ch_teamplayer_hc_3,CHALLENGE_HARDCORE_TEAM_PLAYER2,CHALLENGE_WIN_15_HARDCORE_TEAM,250,;,;,;,;,1,;,;,;,;,
14,6,626,2626,5,0,3,ch_victor_sab_1,CHALLENGE_SABOTAGE_VICTOR_I,CHALLENGE_WIN_5_SABOTAGE_MATCHES,50,;,;,;,b,1,;,;,;,;,
15,;,;,2626,20,5,3,ch_victor_sab_2,CHALLENGE_SABOTAGE_VICTOR_II,CHALLENGE_WIN_20_SABOTAGE_MATCHES,100,;,;,;,;,1,;,;,;,;,
16,;,;,2626,50,20,3,ch_victor_sab_3,CHALLENGE_SABOTAGE_VICTOR_III,CHALLENGE_WIN_50_SABOTAGE_MATCHES,250,;,;,;,;,1,;,;,;,;,
17,7,627,2627,1,0,1,ch_mvp_thc,CHALLENGE_MVP_TEAM_HARDCORE,CHALLENGE_WIN_A_TEAM_HARDCORE_MATCH,50,;,;,;,b,1,;,;,;,;,
18,8,628,2628,1,0,1,ch_bombdown,CHALLENGE_BOMB_DOWN,CHALLENGE_KILL_THE_BOMB_CARRIER,250,;,;,;,c,1,;,;,;,;,
19,9,629,2629,1,0,1,ch_bombdefender,CHALLENGE_BOMB_DEFENDER,CHALLENGE_KILL_A_BOMB_DEFUSER_IN,250,;,;,;,c,1,;,;,;,;,
20,10,630,2630,1,0,1,ch_bombplanter,CHALLENGE_BOMB_PLANTER,CHALLENGE_KILL_A_BOMB_PLANTER_IN,250,;,;,;,c,1,;,;,;,;,
21,11,631,2631,1,0,1,ch_hero,CHALLENGE_HERO,CHALLENGE_DEFUSE_A_BOMB_IN_SABOTAGE,250,;,;,;,c,1,;,;,;,;,
22,12,632,2632,1,0,1,ch_lastmanstanding,CHALLENGE_LAST_MAN_STANDING,CHALLENGE_BE_THE_LAST_MAN_STANDING,250,;,;,;,c,1,;,;,;,;,
