Number,Number,Stat,Stat,AmountReq,AmountFromPrev,Stages,Ref,Name,Description,XP,UnlockStr,UnlockCamo,UnlockAttachment,Unknown,Unknown


1,1,501,2501,25,0,3,ch_marksman_m16_1,CHALLENGE_M16_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_M16_RED_DOT_SIGHT,;,m16 reflex,a,1,;,;,;,;,
2,;,;,2501,75,25,3,ch_marksman_m16_2,CHALLENGE_M16_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_M16_SILENCER,;,m16 silencer,;,1,;,;,;,;,
3,;,;,2501,150,75,3,ch_marksman_m16_3,CHALLENGE_M16_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_M16_ACOG_SCOPE,;,m16 acog,;,1,;,;,;,;,
4,2,502,2502,25,0,3,ch_expert_m16_1,CHALLENGE_M16_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_M16_DIGITAL_CAMOUFLAGE,m16 camo_blackwhitemarpat,;,a,1,;,;,;,;,
5,;,;,2502,75,25,3,ch_expert_m16_2,CHALLENGE_M16_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_M16_BLUE_TIGER,m16 camo_stagger,;,;,1,;,;,;,;,
6,;,;,2502,150,75,3,ch_expert_m16_3,CHALLENGE_M16_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_M16_RED_TIGER,m16 camo_tigerred,;,;,1,;,;,;,;,
7,3,503,2503,25,0,3,ch_marksman_ak47_1,CHALLENGE_AK47_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_AK47_RED_DOT_SIGHT,;,ak47 reflex,a,1,;,;,;,;,
8,;,;,2503,75,25,3,ch_marksman_ak47_2,CHALLENGE_AK47_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_AK47_SILENCER,;,ak47 silencer,;,1,;,;,;,;,
9,;,;,2503,150,75,3,ch_marksman_ak47_3,CHALLENGE_AK47_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_AK47_ACOG_SCOPE,;,ak47 acog,;,1,;,;,;,;,
10,4,504,2504,25,0,3,ch_expert_ak47_1,CHALLENGE_AK47_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_AK47_DIGITAL_CAMOUFLAGE,ak47 camo_blackwhitemarpat,;,a,1,;,;,;,;,
11,;,;,2504,75,25,3,ch_expert_ak47_2,CHALLENGE_AK47_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_AK47_BLUE_TIGER,ak47 camo_stagger,;,;,1,;,;,;,;,
12,;,;,2504,150,75,3,ch_expert_ak47_3,CHALLENGE_AK47_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_AK47_RED_TIGER,ak47 camo_tigerred,;,;,1,;,;,;,;,
13,5,505,2505,25,0,3,ch_marksman_g3_1,CHALLENGE_G3_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_G3_RED_DOT_SIGHT,;,g3 reflex,;,1,;,;,;,;,
14,;,;,2505,75,25,3,ch_marksman_g3_2,CHALLENGE_G3_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_G3_SILENCER,;,g3 silencer,;,1,;,;,;,;,
15,;,;,2505,150,75,3,ch_marksman_g3_3,CHALLENGE_G3_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_G3_ACOG_SCOPE,;,g3 acog,;,1,;,;,;,;,
16,6,506,2506,25,0,3,ch_expert_g3_1,CHALLENGE_G3_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_G3_DIGITAL_CAMOUFLAGE,g3 camo_blackwhitemarpat,;,;,1,;,;,;,;,
17,;,;,2506,75,25,3,ch_expert_g3_2,CHALLENGE_G3_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_G3_BLUE_TIGER,g3 camo_stagger,;,;,1,;,;,;,;,
18,;,;,2506,150,75,3,ch_expert_g3_3,CHALLENGE_G3_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_G3_RED_TIGER_CAMOUFLAGE,g3 camo_tigerred,;,;,1,;,;,;,;,
19,7,507,2507,25,0,3,ch_marksman_m4_1,CHALLENGE_M4_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_M4_RED_DOT_SIGHT,;,m4 reflex,;,1,;,;,;,;,
20,;,;,2507,75,25,3,ch_marksman_m4_2,CHALLENGE_M4_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_M4_SILENCER,;,m4 silencer,;,1,;,;,;,;,
21,;,;,2507,150,75,3,ch_marksman_m4_3,CHALLENGE_M4_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_M4_ACOG_SCOPE,;,m4 acog,;,1,;,;,;,;,
22,8,508,2508,25,0,3,ch_expert_m4_1,CHALLENGE_M4_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_M4_DIGITAL_CAMOUFLAGE,m4 camo_blackwhitemarpat,;,;,1,;,;,;,;,
23,;,;,2508,75,25,3,ch_expert_m4_2,CHALLENGE_M4_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_M4_BLUE_TIGER,m4 camo_stagger,;,;,1,;,;,;,;,
24,;,;,2508,150,75,3,ch_expert_m4_3,CHALLENGE_M4_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_M4_RED_TIGER_CAMOUFLAGE,m4 camo_tigerred,;,;,1,;,;,;,;,
25,9,509,2509,25,0,3,ch_marksman_m14_1,CHALLENGE_M14_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_M14_RED_DOT_SIGHT,;,m14 reflex,;,1,;,;,;,;,
26,;,;,2509,75,25,3,ch_marksman_m14_2,CHALLENGE_M14_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_M14_SILENCER,;,m14 silencer,;,1,;,;,;,;,
27,;,;,2509,150,75,3,ch_marksman_m14_3,CHALLENGE_M14_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_M14_ACOG_SCOPE,;,m14 acog,;,1,;,;,;,;,
28,10,510,2510,25,0,3,ch_expert_m14_1,CHALLENGE_M14_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_M14_DIGITAL_CAMOUFLAGE,m14 camo_blackwhitemarpat,;,;,1,;,;,;,;,
29,;,;,2510,75,25,3,ch_expert_m14_2,CHALLENGE_M14_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_M14_BLUE_TIGER,m14 camo_stagger,;,;,1,;,;,;,;,
30,;,;,2510,150,75,3,ch_expert_m14_3,CHALLENGE_M14_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_M14_RED_TIGER,m14 camo_tigerred,;,;,1,;,;,;,;,
31,11,511,2511,25,0,3,ch_marksman_g36c_1,CHALLENGE_G36C_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_G36C_RED_DOT_SIGHT,;,g36c reflex,;,1,;,;,;,;,
32,;,;,2511,75,25,3,ch_marksman_g36c_2,CHALLENGE_G36C_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_G36C_SILENCER,;,g36c silencer,;,1,;,;,;,;,
