1,1,541,2541,25,0,3,ch_marksman_saw_1,CHALLENGE_M249_SAW_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_M249_SAW_RED_DOTsaw reflex,a,1,;,;,;,;,
2,;,;,2541,75,25,3,ch_marksman_saw_2,CHALLENGE_M249_SAW_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_M249_SAW_GRIP,;,saw grip,;,1,;,;,;,;,
3,;,;,2541,150,75,3,ch_marksman_saw_3,CHALLENGE_M249_SAW_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_M249_SAW_ACOG,;,saw acog,;,1,;,;,;,;,
4,2,542,2542,25,0,3,ch_expert_saw_1,CHALLENGE_M249_SAW_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_M249_SAW_DIGITAL,saw camo_blackwhitemarpat,;,a,1,;,;,;,;,
5,;,;,2542,75,25,3,ch_expert_saw_2,CHALLENGE_M249_SAW_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_M249_SAW_BLUE,saw camo_stagger,;,;,1,;,;,;,;,
6,;,;,2542,150,75,3,ch_expert_saw_3,CHALLENGE_M249_SAW_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_M249_SAW_RED_TIGER,saw camo_tigerred,;,;,1,;,;,;,;,
7,3,543,2543,25,0,3,ch_marksman_rpd_1,CHALLENGE_RPD_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_RPD_RED_DOT_SIGHT,;,rpd reflex,a,1,;,;,;,;,
8,;,;,2543,75,25,3,ch_marksman_rpd_2,CHALLENGE_RPD_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_RPD_GRIP_,;,rpd grip,;,1,;,;,;,;,
9,;,;,2543,150,75,3,ch_marksman_rpd_3,CHALLENGE_RPD_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_RPD_ACOG_SCOPE,;,rpd acog,;,1,;,;,;,;,
10,4,544,2544,25,0,3,ch_expert_rpd_1,CHALLENGE_RPD_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_RPD_DIGITAL_CAMOUFLAGE,rpd camo_blackwhitemarpat,;,a,1,;,;,;,;,
11,;,;,2544,75,25,3,ch_expert_rpd_2,CHALLENGE_RPD_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_RPD_BLUE_TIGER,rpd camo_stagger,;,;,1,;,;,;,;,
12,;,;,2544,150,75,3,ch_expert_rpd_3,CHALLENGE_RPD_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_RPD_RED_TIGER,rpd camo_tigerred,;,;,1,;,;,;,;,
13,5,545,2545,25,0,3,ch_marksman_m60e4_1,CHALLENGE_M60E4_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_M60E4_RED_DOT,;,m60e4 reflex,;,1,;,;,;,;,
14,;,;,2545,75,25,3,ch_marksman_m60e4_2,CHALLENGE_M60E4_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_M60E4_GRIP,;,m60e4 grip,;,1,;,;,;,;,
15,;,;,2545,150,75,3,ch_marksman_m60e4_3,CHALLENGE_M60E4_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_M60E4_ACOG_SCOPE,;,m60e4 acog,;,1,;,;,;,;,
16,6,546,2546,25,0,3,ch_expert_m60e4_1,CHALLENGE_M60E4_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,CHALLENGE_UNLOCK_M60E4_DIGITAL,m60e4 camo_blackwhitemarpat,;,;,1,;,;,;,;,
17,;,;,2546,75,25,3,ch_expert_m60e4_2,CHALLENGE_M60E4_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,CHALLENGE_UNLOCK_M60E4_BLUE_TIGER,m60e4 camo_stagger,;,;,1,;,;,;,;,
18,;,;,2546,150,75,3,ch_expert_m60e4_3,CHALLENGE_M60E4_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,CHALLENGE_UNLOCK_M60E4_RED_TIGER,m60e4 camo_tigerred,;,;,1,;,;,;,;,;,;,
