1,1,681,2681,1,0,1,ch_thebrink,CHALLENGE_THE_BRINK,CHALLENGE_GET_A_3_OR_MORE_KILL,250,;,;,;,a,1,;,;,;,;,
2,2,682,2682,1,0,1,ch_collateraldamage,CHALLENGE_COLLATERAL_DAMAGE,CHALLENGE_KILL_2_OR_MORE_ENEMIES4,250,;,;,;,a,1,;,;,;,;,
3,3,683,2683,1,0,3,ch_theedge_1,CHALLENGE_THE_EDGE_I,CHALLENGE_GET_THE_LAST_KILL_IN,50,;,;,;,a,1,;,;,;,;,
4,;,;,2683,5,1,3,ch_theedge_2,CHALLENGE_THE_EDGE_II,CHALLENGE_GET_THE_LAST_KILL_IN1,100,;,;,;,;,1,;,;,;,;,
5,;,;,2683,10,5,3,ch_theedge_3,CHALLENGE_THE_EDGE_III,CHALLENGE_GET_THE_LAST_KILL_IN2,250,;,;,;,;,1,;,;,;,;,
6,4,684,2684,1,0,1,ch_flawless,CHALLENGE_FLAWLESS,CHALLENGE_PLAY_AN_ENTIRE_FULLLENGTH,250,;,;,;,a,1,;,;,;,;,
7,5,685,2685,1,0,1,ch_tangodown,CHALLENGE_TANGO_DOWN,CHALLENGE_KILL_EVERY_MEMBER_OF,250,;,;,;,b,1,;,;,;,;,
8,6,686,2686,1,0,1,ch_hardlanding,CHALLENGE_HARD_LANDING,CHALLENGE_KILL_AN_ENEMY_THAT_IS1,250,;,;,;,b,1,;,;,;,;,
9,7,687,2687,1,0,1,ch_extremecruelty,CHALLENGE_EXTREME_CRUELTY,CHALLENGE_KILL_EVERY_MEMBER_OF1,250,;,;,;,b,1,;,;,;,;,
10,8,688,2688,1,0,1,ch_fastswap,CHALLENGE_FAST_SWAP,CHALLENGE_HURT_AN_ENEMY_WITH_A,250,;,;,;,b,1,;,;,;,;,
11,9,689,2689,1,0,1,ch_starplayer,CHALLENGE_STAR_PLAYER,CHALLENGE_PLAY_AN_ENTIRE_MATCH,250,;,;,;,b,1,;,;,;,;,
12,10,690,2690,1,0,1,ch_howthe,CHALLENGE_HOW_THE_,CHALLENGE_KILL_AN_ENEMY_BY_USING,250,;,;,;,b,1,;,;,;,;,
13,11,691,2691,1,0,1,ch_dominos,CHALLENGE_DOMINOS,CHALLENGE_KILL_AN_ENEMY_BY_SETTING,250,;,;,;,b,1,;,;,;,;,
14,12,692,2692,1,0,1,ch_nosecrets,CHALLENGE_NO_SECRETS,CHALLENGE_CALL_IN_A_UAV_3_TIMES,250,;,;,;,c,1,;,;,;,;,
15,13,693,2693,1,0,1,ch_afterburner,CHALLENGE_AFTERBURNER,CHALLENGE_CALL_IN_AN_AIRSTRIKE,250,;,;,;,c,1,;,;,;,;,
16,14,694,2694,1,0,1,ch_airsuperiority,CHALLENGE_AIR_SUPERIORITY,CHALLENGE_CALL_IN_A_HELICOPTER,250,;,;,;,c,1,;,;,;,;,
17,15,695,2695,1,0,1,ch_fearless,CHALLENGE_FEARLESS,CHALLENGE_KILL_10_ENEMIES_IN_A,250,;,;,;,c,1,;,;,;,;,
18,16,696,2696,1,0,1,ch_countermvp,CHALLENGE_COUNTERMVP,CHALLENGE_KILL_THE_1_PLAYER_ON,250,;,;,;,c,1,;,;,;,;,
19,17,697,2697,1,0,1,ch_invincible,CHALLENGE_INVINCIBLE,CHALLENGE_GET_5_HEALTH_REGENERATIONS,250,;,;,;,c,1,;,;,;,;,
20,18,698,2698,1,0,1,ch_survivalist,CHALLENGE_SURVIVALIST,CHALLENGE_SURVIVE_FOR_5_CONSECUTIVE,250,;,;,;,c,1,;,;,;,;,
